,0
reuters-topics/grain/article579.txt,"  (0, 7919)	0.0512298517882286
  (0, 7833)	0.0512298517882286
  (0, 7688)	0.0512298517882286
  (0, 7572)	0.0512298517882286
  (0, 7484)	0.0512298517882286
  (0, 7462)	0.0512298517882286
  (0, 7202)	0.1024597035764572
  (0, 7051)	0.04840907120152435
  (0, 6746)	0.04840907120152435
  (0, 5565)	0.0968181424030487
  (0, 5472)	0.046407695524832704
  (0, 5464)	0.0968181424030487
  (0, 5421)	0.046407695524832704
  (0, 4493)	0.0448553079457085
  (0, 4488)	0.0448553079457085
  (0, 4477)	0.0448553079457085
  (0, 4161)	0.0448553079457085
  (0, 3906)	0.04358691493812845
  (0, 3732)	0.04358691493812845
  (0, 3660)	0.04358691493812845
  (0, 3434)	0.0871738298762569
  (0, 3424)	0.04251450393064912
  (0, 3412)	0.04358691493812845
  (0, 3376)	0.04251450393064912
  (0, 3292)	0.089710615891417
  :	:
  (0, 48)	0.015624475887211666
  (0, 46)	0.02997594547848732
  (0, 45)	0.08961873021012377
  (0, 38)	0.04396193207325917
  (0, 37)	0.04112075792375744
  (0, 33)	0.014708541566306946
  (0, 32)	0.04169786481564521
  (0, 29)	0.026466540136317815
  (0, 27)	0.026855972282840132
  (0, 24)	0.01284547861486305
  (0, 22)	0.012873474229815982
  (0, 18)	0.03499838296953014
  (0, 17)	0.09774452409734001
  (0, 16)	0.03496303884121404
  (0, 14)	0.03560857595392536
  (0, 13)	0.02588792030238623
  (0, 12)	0.057688085081325856
  (0, 8)	0.028204623637468843
  (0, 6)	0.09834355631764963
  (0, 5)	0.033117734060931825
  (0, 4)	0.05892952080866907
  (0, 3)	0.11478535897189472
  (0, 2)	0.06588870558314673
  (0, 1)	0.09720699629506592
  (0, 0)	0.30644928707184593"
reuters-topics/grain/article545.txt,"  (0, 8707)	0.10853625660640348
  (0, 8648)	0.10853625660640348
  (0, 7393)	0.10853625660640348
  (0, 7097)	0.10256011271954489
  (0, 5256)	0.09831997115307775
  (0, 4352)	0.09503106184026312
  (0, 4338)	0.09503106184026312
  (0, 4270)	0.09831997115307775
  (0, 3614)	0.09234382726621915
  (0, 3590)	0.09503106184026312
  (0, 3237)	0.09007180280718972
  (0, 2871)	0.08810368569975202
  (0, 2735)	0.08810368569975202
  (0, 2465)	0.0848147763869374
  (0, 2458)	0.08636768337936056
  (0, 2212)	0.08212754181289342
  (0, 1472)	0.07535450199735336
  (0, 1420)	0.07535450199735336
  (0, 1294)	0.07387937346700539
  (0, 1263)	0.17273536675872112
  (0, 1191)	0.07253854185084625
  (0, 1022)	0.13824404297334905
  (0, 977)	0.07017525403917624
  (0, 966)	0.2365158975002364
  (0, 926)	0.06721757179728557
  :	:
  (0, 32)	0.029447220045832057
  (0, 31)	0.05696185870499158
  (0, 30)	0.06008918160631184
  (0, 29)	0.02803618487511531
  (0, 27)	0.11379485192165081
  (0, 24)	0.05442920931874326
  (0, 23)	0.030855439385596747
  (0, 22)	0.13636958273850422
  (0, 19)	0.06655961224898752
  (0, 16)	0.04938211118387559
  (0, 15)	0.02449288138815398
  (0, 14)	0.02514693681007223
  (0, 13)	0.05484649794734588
  (0, 12)	0.04888750278959429
  (0, 11)	0.02527611366112452
  (0, 10)	0.027942603707662626
  (0, 8)	0.03983646463599241
  (0, 7)	0.018673405103838945
  (0, 6)	0.07576435926602612
  (0, 5)	0.03508183956024884
  (0, 4)	0.0713422168512388
  (0, 3)	0.018706601028591844
  (0, 2)	0.15704179024317044
  (0, 1)	0.15445804241390423
  (0, 0)	0.21641586755557646"
reuters-topics/grain/article223.txt,"  (0, 8708)	0.15317516959667626
  (0, 8688)	0.15317516959667626
  (0, 8661)	0.15317516959667626
  (0, 2882)	0.13032309980990053
  (0, 2710)	0.12188908078229298
  (0, 2706)	0.12188908078229298
  (0, 2486)	0.12188908078229298
  (0, 2323)	0.11771495968046063
  (0, 2212)	0.11590504905073239
  (0, 2210)	0.11771495968046063
  (0, 1832)	0.1112634734378441
  (0, 994)	0.11590504905073239
  (0, 990)	0.09616336648180286
  (0, 987)	0.11590504905073239
  (0, 758)	0.1996440838185522
  (0, 710)	0.20297399658312845
  (0, 622)	0.2612068425971882
  (0, 457)	0.08044483913451674
  (0, 436)	0.08076241553721965
  (0, 429)	0.16923792047269817
  (0, 415)	0.08277697427207766
  (0, 353)	0.07592971284920963
  (0, 345)	0.255023317492424
  (0, 251)	0.07243534199110464
  (0, 250)	0.07159478923225278
  :	:
  (0, 48)	0.09343309263419516
  (0, 46)	0.044813427837625035
  (0, 45)	0.05359127040117147
  (0, 40)	0.04333290072220089
  (0, 37)	0.04098313027173154
  (0, 35)	0.10401294307491947
  (0, 30)	0.04240136370673975
  (0, 29)	0.039566938342667994
  (0, 24)	0.03840745769704208
  (0, 20)	0.09184458215863275
  (0, 19)	0.14090148600987637
  (0, 18)	0.03488124638168489
  (0, 16)	0.03484602054713667
  (0, 14)	0.1064681913073956
  (0, 13)	0.03870191347825059
  (0, 11)	0.10701510585981988
  (0, 10)	0.11830460702404817
  (0, 8)	0.028110225179767846
  (0, 7)	0.10541369614766011
  (0, 6)	0.02673120241755319
  (0, 5)	0.09902067553134063
  (0, 3)	0.10560109127488965
  (0, 2)	0.04925113630000288
  (0, 1)	0.1453224792161267
  (0, 0)	0.18795300158517356"
reuters-topics/grain/article237.txt,"  (0, 1215)	0.5398466621073081
  (0, 888)	0.4680038203941598
  (0, 863)	0.43972601108247744
  (0, 169)	0.3189539168351319
  (0, 130)	0.2799009985483997
  (0, 65)	0.26269843691093425
  (0, 20)	0.21700783828528003"
reuters-topics/grain/article551.txt,"  (0, 6975)	0.10910683278746247
  (0, 6950)	0.10910683278746247
  (0, 5522)	0.10459603024814802
  (0, 4449)	0.10459603024814802
  (0, 3796)	0.10459603024814802
  (0, 3203)	0.10910683278746247
  (0, 2980)	0.3137880907444441
  (0, 2956)	0.20219435994915128
  (0, 2951)	0.0982384111456776
  (0, 2641)	0.0918807920432072
  (0, 2625)	0.0918807920432072
  (0, 1760)	0.08285918696457831
  (0, 1630)	0.1837615840864144
  (0, 1628)	0.08101237040142235
  (0, 1572)	0.08016460621187413
  (0, 1535)	0.08016460621187413
  (0, 1474)	0.08016460621187413
  (0, 1433)	0.1747399790077855
  (0, 1389)	0.07936033669100594
  (0, 1298)	0.4183841209925921
  (0, 1250)	0.07586148641743354
  (0, 1139)	0.07586148641743354
  (0, 1124)	0.07936033669100594
  (0, 1036)	0.07936033669100594
  (0, 977)	0.07465475129895195
  :	:
  (0, 84)	0.04113310142680309
  (0, 83)	0.03843491736074171
  (0, 59)	0.11653117603133648
  (0, 58)	0.038903006389835494
  (0, 46)	0.03378065711436765
  (0, 45)	0.12119235798954289
  (0, 40)	0.03266462602172546
  (0, 38)	0.03302788129496849
  (0, 32)	0.031326924555767674
  (0, 27)	0.030264679785018237
  (0, 25)	0.034481547784586605
  (0, 22)	0.05802978513423784
  (0, 18)	0.10517485321684521
  (0, 17)	0.055075397967162175
  (0, 16)	0.07880147951423151
  (0, 13)	0.08752127199122962
  (0, 12)	0.026004069471173546
  (0, 8)	0.021189672917815476
  (0, 7)	0.039730769286661236
  (0, 6)	0.10075078237643423
  (0, 5)	0.018660609379611264
  (0, 3)	0.15920559650940297
  (0, 2)	0.05568874648035257
  (0, 1)	0.07303002810076135
  (0, 0)	0.14168021074331263"
reuters-topics/grain/article009.txt,"  (0, 3873)	0.14601600545810237
  (0, 3002)	0.1393114042688155
  (0, 2973)	0.1424234325094615
  (0, 1604)	0.12315719844178408
  (0, 1194)	0.11096259035558176
  (0, 1110)	0.11370759380403948
  (0, 1083)	0.11275621302915494
  (0, 750)	0.45879788336174354
  (0, 749)	0.10559009987497768
  (0, 677)	0.09958123968383953
  (0, 669)	0.09958123968383953
  (0, 659)	0.09755338797700805
  (0, 636)	0.09707284326901316
  (0, 528)	0.20245404787656884
  (0, 517)	0.09755338797700805
  (0, 510)	0.09438074697752498
  (0, 464)	0.08876032232205262
  (0, 457)	0.09013163504609495
  (0, 446)	0.20851597833258984
  (0, 429)	0.09480838452855032
  (0, 416)	0.20023404806097178
  (0, 407)	0.08564829408140665
  (0, 297)	0.09158870901736908
  (0, 291)	0.08264576765208809
  (0, 287)	0.27705868581208054
  :	:
  (0, 74)	0.18815031194525075
  (0, 69)	0.05791166977005046
  (0, 65)	0.12457034653028827
  (0, 52)	0.07487737085956954
  (0, 46)	0.05020965380105109
  (0, 37)	0.04591812949643067
  (0, 34)	0.08729753379274699
  (0, 27)	0.04498370440991584
  (0, 26)	0.21601898529101782
  (0, 24)	0.04303230632868272
  (0, 22)	0.04312609153627479
  (0, 21)	0.04808119844825967
  (0, 19)	0.10524546137143503
  (0, 17)	0.04093047473179816
  (0, 14)	0.03976286635736274
  (0, 11)	0.039967123516143205
  (0, 8)	0.0944853859200251
  (0, 7)	0.02952678161912121
  (0, 6)	0.05990010065439778
  (0, 5)	0.08320821588770332
  (0, 4)	0.02820195413579731
  (0, 3)	0.02957927171481469
  (0, 2)	0.11036346123272053
  (0, 1)	0.13568461736867327
  (0, 0)	0.18426225455954967"
reuters-topics/grain/article021.txt,"  (0, 8961)	0.15214721696088138
  (0, 8920)	0.15214721696088138
  (0, 8781)	0.15214721696088138
  (0, 8780)	0.15214721696088138
  (0, 8747)	0.15214721696088138
  (0, 8744)	0.15214721696088138
  (0, 8554)	0.15214721696088138
  (0, 6674)	0.30429443392176275
  (0, 3052)	0.12350463340397363
  (0, 3031)	0.1378259251824275
  (0, 3029)	0.1378259251824275
  (0, 2333)	0.11889420722540993
  (0, 1852)	0.1119422679964158
  (0, 1734)	0.1119422679964158
  (0, 1557)	0.12350463340397363
  (0, 1551)	0.12350463340397363
  (0, 1451)	0.2269468636545141
  (0, 1346)	0.2338499582824431
  (0, 994)	0.11512721475169191
  (0, 992)	0.10168525808872922
  (0, 987)	0.11512721475169191
  (0, 976)	0.12107108787786407
  (0, 930)	0.10563269936558761
  (0, 864)	0.10080592297323804
  (0, 758)	0.19830428009760634
  (0, 497)	0.08605861081040408
  (0, 447)	0.08443728862576153
  (0, 377)	0.23878282646599328
  (0, 370)	0.0848308482703493
  (0, 316)	0.08605861081040408
  (0, 315)	0.2369596429739809
  (0, 269)	0.07372764079497726
  (0, 209)	0.21334295811658438
  (0, 169)	0.06704273283222362
  (0, 131)	0.06496688542083942
  (0, 106)	0.06148030912426364
  (0, 88)	0.06072432516099202
  (0, 82)	0.12144865032198404
  (0, 68)	0.05894719108433758
  (0, 52)	0.39828909715475125
  (0, 45)	0.10646324291862541
  (0, 41)	0.043846136704209025
  (0, 20)	0.04561410836092265
  (0, 4)	0.02500205941572725
  (0, 3)	0.02622310160943851
  (0, 1)	0.024057870946933794
  (0, 0)	0.02333645703308625"
reuters-topics/grain/article035.txt,"  (0, 4266)	0.394340158790129
  (0, 2536)	0.3703711370170515
  (0, 1664)	0.32466410848317373
  (0, 1207)	0.29356417751981256
  (0, 1202)	0.3345394908835375
  (0, 391)	0.24158744996936213
  (0, 114)	0.20708889321179272
  (0, 85)	0.16997026556005634
  (0, 56)	0.15132633790554623
  (0, 50)	0.16737139073353954
  (0, 49)	0.19230165126927112
  (0, 44)	0.14512219589577513
  (0, 26)	0.13698360831830375
  (0, 20)	0.13050864494693595
  (0, 11)	0.10137703009703518
  (0, 10)	0.33621523645283535
  (0, 7)	0.07489499282231785"
reuters-topics/grain/article196.txt,"  (0, 5226)	0.38944542520381015
  (0, 4349)	0.37334458744641896
  (0, 2705)	0.35065173117527654
  (0, 1005)	0.2664723246044582
  (0, 920)	0.26858455527835395
  (0, 368)	0.24174406329947612
  (0, 299)	0.20855178723449902
  (0, 285)	0.26858455527835395
  (0, 260)	0.22564322554208494
  (0, 85)	0.16092066014369608
  (0, 65)	0.14957540965083926
  (0, 50)	0.3169203107056763
  (0, 23)	0.23433105508052215
  (0, 11)	0.095979485310965
  (0, 7)	0.07090741222714822"
reuters-topics/grain/article182.txt,"  (0, 8816)	0.15677315286081095
  (0, 8801)	0.15677315286081095
  (0, 8786)	0.15677315286081095
  (0, 8784)	0.15677315286081095
  (0, 6727)	0.1481410243132947
  (0, 5340)	0.1481410243132947
  (0, 5308)	0.1420164316404347
  (0, 4147)	0.13726582849117508
  (0, 3961)	0.13726582849117508
  (0, 3470)	0.13010252012973206
  (0, 2929)	0.12725971042005849
  (0, 2902)	0.12725971042005849
  (0, 2171)	0.13726582849117508
  (0, 1643)	0.12048000610400168
  (0, 1603)	0.11250298919968224
  (0, 1286)	0.10775238605042262
  (0, 1072)	0.20955386274510804
  (0, 1068)	0.219990906650052
  (0, 1005)	0.10136332477750977
  (0, 930)	0.10884439200093417
  (0, 815)	0.09299566483004638
  (0, 802)	0.09299566483004638
  (0, 796)	0.09246997272537029
  (0, 712)	0.09709115633610921
  (0, 645)	0.20955386274510804
  :	:
  (0, 86)	0.06050676771142535
  (0, 79)	0.05381137815319468
  (0, 78)	0.054152016596662855
  (0, 75)	0.055663802384654106
  (0, 63)	0.10120426342342163
  (0, 48)	0.09562777408615207
  (0, 46)	0.045866065571226605
  (0, 45)	0.05485009384177769
  (0, 44)	0.052263853816397095
  (0, 42)	0.04339734365175981
  (0, 40)	0.044350761854624735
  (0, 37)	0.08389159370572177
  (0, 30)	0.04339734365175981
  (0, 29)	0.040496339513528885
  (0, 25)	0.0936354154586633
  (0, 23)	0.0891371172478829
  (0, 22)	0.039395295376286624
  (0, 16)	0.03566453048631555
  (0, 12)	0.0353073165937999
  (0, 5)	0.07600995420307571
  (0, 4)	0.07728669168410754
  (0, 3)	0.1621223864314816
  (0, 2)	0.12602003216415122
  (0, 1)	0.04957866932839183
